iter	RMSE
0	0.7634580276
1	0.7598317356
2	0.7571007176
3	0.754607456
4	0.7520867998
5	0.7490676034
6	0.745712479
7	0.7422623761
8	0.7385801634
9	0.7340832119
10	0.7309437507
11	0.7289002918
12	0.7263887639
13	0.7241363772
14	0.7206577054
15	0.7170069678
16	0.7138944812
17	0.7104181019
18	0.7074919574
19	0.7049956162
20	0.7019032188
21	0.6992979442
22	0.6973100014
23	0.6949002942
24	0.691631443
25	0.6882821558
26	0.685645724
27	0.683487508
28	0.6809612057
29	0.6779497241
30	0.6755502255
31	0.6734521449
32	0.6707522911
33	0.6677631178
34	0.6656536113
35	0.6639013279
36	0.6614396284
37	0.6601045408
38	0.657906657
39	0.654916279
40	0.6526843814
41	0.6508639093
42	0.6480064223
43	0.6456024505
44	0.6429798906
45	0.6403240441
46	0.6375165918
47	0.6357896366
48	0.6336647049
49	0.6319984565
50	0.6305407957
51	0.628923493
52	0.6271684336
53	0.6250270083
54	0.6234273041
55	0.6216122033
56	0.6192795552
57	0.6168451566
58	0.6144011658
59	0.6127342918
60	0.6113009753
61	0.6098137691
62	0.6082037812
63	0.6059927561
64	0.6033395341
65	0.601585465
66	0.5992744768
67	0.598318708
68	0.5966273767
69	0.5951331723
70	0.5932554484
71	0.5911750709
72	0.5895901331
73	0.588106954
74	0.5866310861
75	0.5853715155
76	0.584485089
77	0.5824139076
78	0.580473097
79	0.5788810957
80	0.577279462
81	0.5758559111
82	0.5743049718
83	0.5723544362
84	0.5712329038
85	0.570042244
86	0.568134217
87	0.5665503282
88	0.5648970243
89	0.5632321587
90	0.5608759546
91	0.5596409071
92	0.5578406331
93	0.5564979814
94	0.5554604128
95	0.5538977318
96	0.5522363872
97	0.5511610317
98	0.54929766
99	0.5478513128
100	0.5455078257
101	0.54408954
102	0.5427783068
103	0.5414006865
104	0.5398047752
105	0.538275496
106	0.536546474
107	0.53540581
108	0.5342108921
109	0.5330783593
110	0.5319305472
111	0.5304472453
112	0.5291559231
113	0.5281167851
114	0.5267270593
115	0.525668315
116	0.5247639395
117	0.5235669592
118	0.5219319679
119	0.5205092649
120	0.5189513194
121	0.5174121658
122	0.5163732499
123	0.5151396579
124	0.5139459061
125	0.5126983726
126	0.511479
127	0.5105186698
128	0.5090982679
129	0.5082452807
130	0.5073028238
131	0.5060996663
132	0.5051629299
133	0.5042886273
134	0.5028665029
135	0.5022081859
136	0.5011508474
137	0.499977412
138	0.4985593335
139	0.4973253568
140	0.4963278915
141	0.4950577044
142	0.4943614612
143	0.4930689082
144	0.4922511049
145	0.4912164283
146	0.4898598678
147	0.4882337397
148	0.4875748173
149	0.486603253
150	0.485691603
151	0.4847275351
152	0.4837777007
153	0.4831801442
154	0.4820442768
155	0.4810796993
156	0.4802854405
157	0.4792822953
158	0.478638382
159	0.477654231
160	0.4767160207
161	0.4757248564
162	0.4750377016
163	0.4741331513
164	0.4735058749
165	0.4726000642
166	0.4718367348
167	0.4711701918
168	0.469983445
169	0.4690812757
170	0.4680323735
171	0.4670901932
172	0.4661691636
173	0.4646994521
174	0.4638788883
175	0.4630168787
176	0.4622656218
177	0.4613192417
178	0.4601472674
179	0.4595904963
180	0.4586011431
181	0.4575750945
182	0.4565725686
183	0.4558827059
184	0.4552007619
185	0.4544092674
186	0.4536458723
187	0.45274162
188	0.4518780302
189	0.4509830969
190	0.4503056763
191	0.4495277802
192	0.4485543712
193	0.4475484723
194	0.4469109311
195	0.4458945461
196	0.4451536289
197	0.4445051279
198	0.4436873371
199	0.4429482354
200	0.4423607626
201	0.4419193417
202	0.4410575597
203	0.4402293579
204	0.4396611145
205	0.4390599798
206	0.4381679712
207	0.4374903363
208	0.4363446619
209	0.4356560767
210	0.4348757809
211	0.4340226747
212	0.4331233572
213	0.4327122789
214	0.4321159478
215	0.4313937964
216	0.4307905489
217	0.4302562745
218	0.4295448697
219	0.4290903994
220	0.4284994962
221	0.4278851817
222	0.4271225626
223	0.4263766014
224	0.4255173946
225	0.4249967661
226	0.4244317755
227	0.4236341088
228	0.4230522327
229	0.4223010097
230	0.4216245327
231	0.4208817695
232	0.4201164155
233	0.419627264
234	0.4191018053
235	0.4185325547
236	0.4178665488
237	0.4174545296
238	0.4170618475
239	0.4164828936
240	0.4157344609
241	0.415029111
242	0.4142441946
243	0.4131973542
244	0.4126571993
245	0.4120583134
246	0.4115659547
247	0.4109962064
248	0.410328105
249	0.4098207607
250	0.4089915368
251	0.4085040632
252	0.4076545752
253	0.4067573771
254	0.4058469204
255	0.4053521146
256	0.4046787941
257	0.4043571413
258	0.4032745752
259	0.4025789839
260	0.4016908377
261	0.4009777463
262	0.4001578519
263	0.3994046348
264	0.3984799294
265	0.3977657951
266	0.3970723961
267	0.3962352767
268	0.3955819112
269	0.3947884161
270	0.3943536734
271	0.3939604946
272	0.3933078881
273	0.3925580138
274	0.3919516905
275	0.3914081911
276	0.3908849742
277	0.3901885755
278	0.389853697
279	0.3893501669
280	0.3886778675
281	0.3882256282
282	0.3875706578
283	0.3869701373
284	0.3863008257
285	0.3857876505
286	0.3850797758
287	0.3846834329
288	0.383859586
289	0.3833889104
290	0.3825244632
291	0.3816921666
292	0.3810363417
293	0.3806689511
294	0.3802394701
295	0.3790511171
296	0.3783829118
297	0.3777175077
298	0.3773624399
299	0.3766422481
300	0.3759210149
301	0.3753149782
302	0.3746526391
303	0.3738635774
304	0.3732480953
305	0.3726172233
306	0.3719665013
307	0.371523558
308	0.3711230815
309	0.3703881697
310	0.3695999243
311	0.3690102907
312	0.3680206829
313	0.3674547814
314	0.3666688874
315	0.3660398242
316	0.3652385172
317	0.3646653545
318	0.3638873446
319	0.3632475114
320	0.3624189308
321	0.361953249
322	0.3614856556
323	0.3606712711
324	0.3597567957
325	0.359312883
326	0.358628523
327	0.3579124986
328	0.3572904968
329	0.3565778326
330	0.3558045474
331	0.3553111875
332	0.3544267428
333	0.3536638643
334	0.3529980442
335	0.3523785285
336	0.351432649
337	0.3506474741
338	0.3503050107
339	0.3501079314
340	0.3490360385
341	0.3483431539
342	0.3476598854
343	0.3474871444
344	0.3468519393
345	0.3461953275
346	0.3456611728
347	0.3452882712
348	0.3446667455
349	0.3442046932
350	0.343354092
351	0.3427737818
352	0.3422745017
353	0.3416752593
354	0.3413242518
355	0.3406362352
356	0.339890282
357	0.3394489522
358	0.3384743431
359	0.3377341631
360	0.3375200614
361	0.3372625065
362	0.3364515665
363	0.3359101745
364	0.3355346934
365	0.334744051
366	0.3343016558
367	0.3334706341
368	0.3332684665
369	0.3329390842
370	0.3327704325
371	0.3318492005
372	0.3312169236
373	0.3303667867
374	0.3298079876
375	0.3296395086
376	0.3288898567
377	0.3280786939
378	0.3274493484
379	0.3267445537
380	0.3261600446
381	0.3259271839
382	0.3251836973
383	0.3244741246
384	0.3237935047
385	0.3231351123
386	0.3222700223
387	0.3215996723
388	0.3212336932
389	0.3210439726
390	0.3208526649
391	0.320117243
392	0.3195100585
393	0.3193280862
394	0.3185754352
395	0.3180612371
396	0.3176740587
397	0.3168373884
398	0.3162826465
399	0.3157692265
400	0.3151323302
401	0.3149123948
402	0.3142566697
403	0.3138663893
404	0.3131695947
405	0.3128103245
406	0.312084286
407	0.3117456429
408	0.3110260435
409	0.3106877308
410	0.3099971551
411	0.3091611811
412	0.3081752697
413	0.3076817708
414	0.3070039578
415	0.3061375327
416	0.3053610279
417	0.3045820199
418	0.3038665354
419	0.3035801576
420	0.3033089415
421	0.3026543485
422	0.3019095362
423	0.3012690433
424	0.3005803978
425	0.2998162611
426	0.2994642747
427	0.298720885
428	0.298309397
429	0.2976823921
430	0.2971438916
431	0.2969646803
432	0.2968076108
433	0.2961700327
434	0.2958155935
435	0.2955618168
436	0.2947513002
437	0.2943342926
438	0.2936576852
439	0.293115481
440	0.2923803907
441	0.2917622618
442	0.2911964418
443	0.2905466691
444	0.2903996399
445	0.2896301638
446	0.2894862605
447	0.288810032
448	0.2882144668
449	0.2876481659
450	0.2868807482
451	0.2860257603
452	0.2856636683
453	0.285215497
454	0.2845653966
455	0.2839256474
456	0.2832426002
457	0.2824874359
458	0.2820973128
459	0.2815596803
460	0.2808648616
461	0.2804913136
462	0.2795999174
463	0.2788685258
464	0.2780771212
465	0.2773350065
466	0.2770141663
467	0.2767149005
468	0.2761508531
469	0.2759934818
470	0.2753651043
471	0.2746822563
472	0.274021326
473	0.2738737419
474	0.2737073121
475	0.2730227845
476	0.2723773552
477	0.2717238461
478	0.271075909
479	0.2707748775
480	0.2706416615
481	0.2699158199
482	0.2691938785
483	0.2690183712
484	0.2686771718
485	0.2684330026
486	0.2679173591
487	0.2677672356
488	0.2672801394
489	0.2667847505
490	0.2666466181
491	0.2660618224
492	0.2657707534
493	0.2651389452
494	0.264586025
495	0.2644471357
496	0.2638118104
497	0.2636375091
498	0.2630608745
499	0.2629285242
500	0.262519848
501	0.2619411229
502	0.2616402938
503	0.261041759
504	0.2605462086
505	0.2603495992
506	0.2597663915
507	0.2589622858
508	0.258358233
509	0.2580574522
510	0.2579390591
511	0.2574718851
512	0.2568874047
513	0.2563980033
514	0.2558614949
515	0.2552234598
516	0.2551040948
517	0.2549672362
518	0.2544411316
519	0.2543263073
520	0.253716317
521	0.2534500323
522	0.2528662925
523	0.2523892748
524	0.2517650057
525	0.2511825416
526	0.2509561388
527	0.2503583578
528	0.2497321902
529	0.2491714141
530	0.2485344486
531	0.2480628497
532	0.2479147679
533	0.2475236709
534	0.2469194199
535	0.2463570962
536	0.2458938119
537	0.2456796179
538	0.245485395
539	0.2452833497
540	0.24475151
541	0.2446452012
542	0.2439973411
543	0.2435373754
544	0.2432131608
545	0.2427314294
546	0.2424912602
547	0.2419226754
548	0.2414339805
549	0.2411346344
550	0.2408516947
551	0.240399232
552	0.2399749755
553	0.2395661351
554	0.2393074253
555	0.2385588509
556	0.2382367328
557	0.2377303157
558	0.2374751648
559	0.2370419288
560	0.2364814325
561	0.236360022
562	0.2357159434
563	0.2348791163
564	0.2341906953
565	0.2339613202
566	0.2335602808
567	0.2334428137
568	0.2328688288
569	0.2326321165
570	0.2325091212
571	0.2318021612
572	0.2312533776
573	0.2307520976
574	0.2306264906
575	0.2303467463
576	0.2299261109
577	0.2295159161
578	0.2292114559
579	0.2287958616
580	0.2284267779
581	0.2281020065
582	0.2275382095
583	0.2271610801
584	0.2268961586
585	0.2263939879
586	0.2260392345
587	0.2256209845
588	0.2254554692
589	0.2248972877
590	0.224692749
591	0.2242522864
592	0.2239168781
593	0.2236984307
594	0.223297383
595	0.2229630073
596	0.2225772338
597	0.2219362516
598	0.2217462409
599	0.2216360789
600	0.2215324654
601	0.2211111992
602	0.2205221809
603	0.2200956515
604	0.219599251
605	0.21932748
606	0.2188261047
607	0.2187033884
608	0.2184382767
609	0.2182500658
610	0.2177648871
611	0.2173153297
612	0.2167382757
613	0.2164199961
614	0.2160382906
615	0.2154089049
616	0.2149854795
617	0.2144945268
618	0.2143572237
619	0.2141228367
620	0.2136149403
621	0.2132098371
622	0.2131155655
623	0.2129500085
624	0.2124396705
625	0.2123316716
626	0.2121131885
627	0.2116144277
628	0.2115022013
629	0.2110197318
630	0.2105195722
631	0.2100185723
632	0.2098834577
633	0.2093820863
634	0.2088311573
635	0.2083426951
636	0.2079348274
637	0.2075857595
638	0.2070910113
639	0.206972957
640	0.2065707887
641	0.2060820017
642	0.2055736368
643	0.2050700586
644	0.2047849798
645	0.2045701875
646	0.2044418613
647	0.2038992255
648	0.2037871811
649	0.2033603228
650	0.2030604924
651	0.2025835822
652	0.2022739101
653	0.2019931576
654	0.201458377
655	0.201091531
656	0.200732868
657	0.2002229272
658	0.2001144132
659	0.1995987238
660	0.1995084476
661	0.1989193471
662	0.1982955999
663	0.1981999257
664	0.1980483942
665	0.1978408795
666	0.1974273296
667	0.1970657391
668	0.1965647054
669	0.1961320389
670	0.1958164466
671	0.1956202159
672	0.1951680527
673	0.1947295389
674	0.1946340152
675	0.1945484328
676	0.1941673948
677	0.1937537283
678	0.1936489215
679	0.1930891342
680	0.1928354191
681	0.1927370956
682	0.1924959304
683	0.191919214
684	0.1917559116
685	0.1913656204
686	0.1909827986
687	0.1905306826
688	0.1904269217
689	0.1900004939
690	0.189563153
691	0.1892045283
692	0.1887548768
693	0.1885962617
694	0.1881000129
695	0.1878046488
696	0.1876311974
697	0.1871521644
698	0.1867274491
699	0.186474835
700	0.1859602645
701	0.1856066113
702	0.1852466941
703	0.1848971463
704	0.1843577407
705	0.1840733042
706	0.1838400274
707	0.1834774141
708	0.1832174135
709	0.182984849
710	0.1825369317
711	0.1821672519
712	0.1819298873
713	0.1815648429
714	0.1814284505
715	0.1813256477
716	0.1812475005
717	0.1809461481
718	0.1805094769
719	0.1802419501
720	0.1799316656
721	0.1798370648
722	0.1794368112
723	0.1791154817
724	0.1787075153
725	0.1785010308
726	0.1784200614
727	0.1779902002
728	0.1775861357
729	0.17710485
730	0.1770155087
731	0.1765778485
732	0.1761643579
733	0.1759263538
734	0.1757422493
735	0.17542452
736	0.1749727553
737	0.1746400996
738	0.1742026176
739	0.1740431866
740	0.1739519293
741	0.1736096267
742	0.1732268736
743	0.1729307542
744	0.1725824271
745	0.172392906
746	0.172024237
747	0.1716190105
748	0.1714641536
749	0.171120524
750	0.1707605494
751	0.1705348488
752	0.1701404282
753	0.1697608182
754	0.1695352835
755	0.1691750693
756	0.1687654996
757	0.1683509529
758	0.1679890701
759	0.1675202037
760	0.1671193654
761	0.1667118391
762	0.1663362551
763	0.1659401008
764	0.1656529787
765	0.1652494624
766	0.1649139275
767	0.1648544905
768	0.1644628017
769	0.1643113354
770	0.1641395295
771	0.1638948196
772	0.1636549411
773	0.163253873
774	0.1629655365
775	0.1628736263
776	0.162633699
777	0.1622701986
778	0.1618777175
779	0.1615994784
780	0.1614699635
781	0.16109565
782	0.1607645966
783	0.1604582922
784	0.1601234974
785	0.1598082521
786	0.1593796645
787	0.1590067832
788	0.1587843736
789	0.1584481279
790	0.1581488177
791	0.1578370316
792	0.157551536
793	0.15747344
794	0.157266086
795	0.1571732347
796	0.1570600434
797	0.1566745492
798	0.1565527717
799	0.1560996193
