iter	Passed	Remaining
0	67	54086
1	132	52831
2	197	52342
3	260	51859
4	321	51063
5	381	50436
6	446	50575
7	506	50142
8	562	49434
9	620	48993
10	686	49253
11	751	49358
12	815	49376
13	877	49279
14	947	49568
15	1013	49684
16	1081	49806
17	1144	49718
18	1205	49540
19	1272	49619
20	1335	49545
21	1402	49587
22	1460	49329
23	1522	49236
24	1595	49453
25	1665	49570
26	1725	49389
27	1789	49331
28	1855	49336
29	1919	49255
30	1978	49073
31	2046	49117
32	2108	49001
33	2174	48984
34	2245	49071
35	2316	49162
36	2378	49038
37	2457	49274
38	2516	49111
39	2583	49084
40	2650	49059
41	2713	48978
42	2774	48835
43	2838	48766
44	2902	48690
45	2961	48548
46	3024	48455
47	3081	48280
48	3140	48135
49	3202	48030
50	3268	48006
51	3336	47992
52	3393	47830
53	3535	48842
54	3613	48941
55	3671	48773
56	3733	48666
57	3791	48507
58	3856	48437
59	3918	48332
60	3984	48266
61	4049	48207
62	4116	48158
63	4184	48127
64	4247	48027
65	4316	48007
66	4383	47959
67	4445	47856
68	4510	47780
69	4572	47681
70	4634	47583
71	4697	47500
72	4764	47450
73	4830	47390
74	4890	47278
75	4953	47188
76	5017	47112
77	5081	47037
78	5142	46932
79	5203	46832
80	5259	46689
81	5323	46614
82	5378	46460
83	5444	46408
84	5504	46304
85	5572	46263
86	5629	46135
87	5684	45996
88	5748	45922
89	5811	45848
90	5874	45768
91	5941	45723
92	5994	45572
93	6048	45431
94	6103	45296
95	6159	45167
96	6212	45021
97	6271	44925
98	6334	44853
99	6388	44721
100	6444	44603
101	6499	44476
102	6555	44360
103	6610	44238
104	6665	44116
105	6722	44011
106	6777	43894
107	6831	43770
108	6885	43647
109	6941	43542
110	6999	43447
111	7053	43330
112	7110	43226
113	7167	43132
114	7235	43099
115	7294	43011
116	7354	42933
117	7414	42851
118	7472	42764
119	7534	42698
120	7599	42647
121	7657	42557
122	7717	42479
123	7769	42358
124	7827	42271
125	7886	42186
126	7943	42094
127	8006	42035
128	8066	41957
129	8138	41942
130	8197	41865
131	8257	41788
132	8312	41687
133	8367	41588
134	8423	41494
135	8479	41398
136	8534	41299
137	8587	41197
